Length_of_Segment,Daily_Traffic,Truck_Volume,Speed_Limit,Lane_Width,Width_Outer_Shoulder,Freeway_Type_Interchanges,Signalized_Interchanges,Access_Points,Number_of_Lanes,Federal_Aid_Interstate_Highway,Principal_Arterial_Highway,Major_Aterial_Highway,Accident_Rate
0,1,0,0,1,0,1,1,1,1,0,0,1,923
0,1,0,0,1,0,1,1,1,0,0,0,1,860
0,0,0,1,1,1,1,1,1,0,0,0,1,821
1,0,0,0,1,0,0,1,1,0,0,0,1,748
0,1,0,1,1,1,1,1,1,1,0,1,0,687
0,1,1,1,1,1,1,1,1,1,0,1,0,612
0,1,0,0,1,0,0,1,0,1,0,1,0,588
1,0,0,0,0,0,0,1,1,0,0,0,1,577
0,1,1,0,1,1,0,1,1,0,0,1,0,480
1,1,1,0,1,0,1,1,1,1,0,1,0,461
0,1,0,1,1,1,1,0,0,1,1,0,0,458
1,0,1,1,0,0,0,0,0,0,0,0,1,427
0,0,1,0,1,0,1,1,0,0,0,1,0,422
0,1,0,1,1,1,1,1,0,1,0,1,0,420
1,0,1,1,1,0,0,0,1,0,0,0,0,412
0,1,0,1,1,1,1,1,1,1,0,1,0,385
1,0,1,1,1,0,0,0,1,0,0,0,1,378
1,1,1,0,1,0,1,1,0,1,0,1,0,329
1,0,1,1,1,1,0,0,0,0,0,0,0,305
0,1,1,1,1,1,1,0,0,1,1,0,0,302
1,0,1,1,1,0,0,0,0,0,0,0,1,297
1,0,1,1,1,0,0,0,1,0,0,0,1,293
0,0,1,1,1,0,0,0,1,0,0,0,1,290
1,1,0,1,1,1,1,0,0,1,1,0,0,286
1,0,1,0,1,1,0,1,1,0,0,1,0,283
0,0,0,1,1,0,1,0,1,0,0,1,0,276
1,1,0,1,1,1,1,1,0,1,0,1,0,269
0,0,0,1,1,0,0,0,1,0,0,0,1,257
1,0,0,1,1,1,0,1,0,1,0,1,0,255
1,0,0,1,1,1,0,0,0,0,0,1,0,234
0,1,1,1,1,1,1,0,0,1,1,0,0,229
0,1,1,1,1,1,1,1,1,1,0,1,0,201
0,1,1,1,1,1,1,0,0,1,0,1,0,199
1,1,1,1,1,1,0,1,0,1,0,1,0,189
1,0,1,1,0,1,0,1,1,0,0,0,1,184
1,0,1,1,1,0,0,0,0,0,0,1,0,181
1,1,1,1,1,1,1,0,0,1,1,0,0,161
