Soccer_Team,State_Capital,Former_East_Germany,Industrial_Belt,Licence_plate,Intercity_trainline,Exposition_Site,National_Capital,University,Population
0,1,0,0,1,1,1,1,1,3433695
1,1,0,0,0,1,1,0,1,1652363
1,1,0,0,1,1,1,0,1,1229026
1,0,0,0,1,1,1,0,1,953551
1,0,0,0,1,1,1,0,1,644865
0,0,0,1,1,1,1,0,1,626973
1,0,0,1,0,1,1,0,1,599055
1,1,0,0,1,1,1,0,1,579988
0,1,0,0,1,1,1,0,1,575794
1,1,0,0,0,1,0,0,1,551219
0,0,0,1,0,1,0,0,1,535447
0,1,0,0,1,1,1,0,1,513010
0,0,1,0,1,1,1,0,1,511079
1,0,0,0,1,1,1,0,1,493692
1,0,1,0,0,1,0,0,1,490571
1,0,0,1,0,1,0,0,1,396486
0,0,0,1,1,1,0,0,1,383660
0,0,0,0,0,1,0,0,1,319037
0,0,0,0,0,1,0,0,1,310411
0,0,1,0,0,1,0,0,0,310234
0,0,1,0,1,0,0,0,0,294244
1,0,0,1,0,1,0,0,0,293714
0,0,0,0,0,1,0,0,1,292234
0,1,1,0,0,1,0,0,0,278807
1,0,0,0,0,1,0,0,0,275061
0,1,0,0,0,1,0,0,0,260301
0,0,0,0,0,1,0,0,1,259438
1,0,0,0,0,0,0,0,0,259436
0,0,0,0,0,1,0,0,1,258833
0,0,0,0,1,1,0,0,1,256877
0,0,1,0,0,1,0,0,0,248088
0,1,0,0,0,1,0,0,1,245567
0,0,0,0,0,0,0,0,0,244020
0,0,0,0,0,1,0,0,1,241961
0,0,0,1,0,1,0,0,0,223840
0,0,0,0,0,1,0,0,0,214758
0,0,0,1,0,1,0,0,0,214449
0,1,1,0,0,1,0,0,0,208989
0,0,0,0,0,1,0,0,1,194268
1,1,0,0,0,1,1,0,1,191694
0,0,0,0,0,1,0,0,1,191029
0,0,0,1,0,1,0,0,0,179639
0,1,0,0,0,1,0,0,1,179486
0,0,0,1,0,0,0,0,0,178132
0,0,0,1,0,0,0,0,0,177681
0,0,0,0,0,1,0,0,0,165401
0,0,0,0,0,1,0,0,1,163168
0,0,0,0,0,1,0,0,0,162173
1,0,0,0,0,0,0,0,0,160919
0,0,0,0,0,0,0,0,0,147019
0,0,0,0,0,1,0,0,1,143131
0,1,1,0,1,1,0,0,0,139794
0,0,0,0,0,1,0,0,1,138920
0,0,0,0,0,1,0,0,1,136796
0,0,0,0,0,1,0,0,0,130446
0,0,1,0,1,1,0,0,0,129037
0,0,0,0,0,0,0,0,0,128510
0,0,0,0,0,1,0,0,1,127777
0,1,1,0,0,1,0,0,0,127447
0,0,1,0,0,0,0,0,0,125891
0,0,0,1,0,1,0,0,0,125060
0,0,0,0,0,0,0,0,0,123155
0,0,0,0,0,1,0,0,1,121831
0,0,0,0,1,1,0,0,1,121691
0,0,0,0,0,0,0,0,1,120680
0,0,0,1,0,0,0,0,0,118936
0,0,0,0,0,0,0,0,0,115843
0,0,0,0,0,0,1,0,0,114992
0,0,1,0,1,0,0,0,0,114636
0,0,0,0,0,0,0,0,0,114355
0,0,0,0,0,1,0,0,0,112944
0,0,0,0,0,1,0,0,1,110529
0,0,0,0,0,0,0,0,1,109174
0,0,0,0,0,1,0,0,1,108733
0,0,1,0,1,1,0,0,1,105518
0,0,0,0,0,1,0,0,0,105489
0,0,0,1,0,0,0,0,0,105403
0,0,0,0,0,1,0,0,1,105291
0,0,0,1,0,0,0,0,0,104595
0,0,0,0,0,0,0,0,0,104037
0,0,0,0,0,0,0,0,0,103687
0,0,0,0,0,1,0,0,0,103362
0,0,0,0,0,1,0,0,1,102440
