Action,Days_after_experiment,suitability_for_seeding,percent_cloud_cover_on_day_of_experiment,prewetness,Echo_motion, ,Rainfall
0,0,0,1,1,1,,1285
1,1,0,1,0,0,,1186
0,0,0,1,1,0,,635
1,0,1,0,0,1,,629
0,0,0,1,1,0,,611
0,1,1,1,1,0,,574
1,0,0,1,1,0,,552
1,1,1,1,0,1,,545
1,0,0,0,0,0,,506
1,1,0,0,0,0,,484
0,0,1,0,0,0,,456
0,1,1,1,1,0,,445
1,1,1,0,1,0,,422
1,0,0,0,0,0,,405
0,1,1,0,1,1,,366
0,0,0,1,0,1,,361
1,0,1,0,1,0,,276
1,0,1,1,1,0,,245
1,1,0,0,0,0,,202
0,1,1,0,1,0,,116
1,1,1,1,0,0,,109
0,1,0,0,0,0,,82
0,0,0,0,1,0,,47
0,1,1,1,0,0,,28
