weight_age_2,height_age_2,wheight_age_9,height_age_9,leg_circumference_age_9,strength_age_9,weight_age_18,height_age_18,strength_age_18,somatotype,leg_circumference_age_18
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,441.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,425.0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,404.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,398.0
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,391.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,390.0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,388.0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,386.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,384.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,380.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,379.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,378.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,373.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,370.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,369.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,368.0
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,367.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,366.0
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,365.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,362.0
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,361.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,358.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,357.0
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,355.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,354.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,353.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,348.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,345.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,343.0
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,342.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,341.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,340.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,339.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,338.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,335.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,334.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,333.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,330.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,328.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,327.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,324.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,300.0
,,,,,,,,,,
,,,,,,,,,,
