population,motor_tax,n_licensed_drivers,capita_income,highway,population_driver`s_licence,fuel
0,0,0,1,0,1,9681
0,0,0,1,1,1,8653
0,0,0,1,0,1,7818
0,0,0,0,0,0,7136
0,0,0,0,1,1,7038
0,0,0,0,0,0,6986
0,0,0,1,1,1,6492
0,1,0,0,0,1,6481
0,0,0,0,1,1,6435
0,1,0,1,1,1,6400
1,0,1,0,1,1,6396
0,0,1,1,1,1,6348
0,0,0,1,0,1,6324
1,1,1,0,1,1,6311
0,1,0,0,0,0,6279
0,0,0,0,0,1,6100
1,0,1,0,1,1,6028
0,0,0,0,0,0,5915
0,0,0,1,0,1,5872
1,1,1,1,1,0,5799
0,1,0,0,1,1,5771
0,1,0,0,1,0,5767
1,1,1,0,1,0,5743
1,0,1,0,1,0,5708
1,1,1,0,1,0,5664
1,0,1,1,1,1,5657
0,1,0,0,0,1,5606
1,0,1,0,1,0,5544
1,1,1,0,0,0,5466
0,1,0,0,0,0,5413
0,1,0,1,0,1,5398
1,1,0,0,0,0,5338
1,0,1,1,1,1,5250
1,0,1,1,1,1,5242
0,1,0,0,0,1,5240
1,1,1,1,0,1,5103
1,0,1,0,1,0,5075
1,0,1,1,1,0,4985
1,1,1,0,0,0,4871
1,1,1,1,1,0,4712
1,1,1,1,0,0,4668
1,1,1,1,1,0,4643
1,1,1,1,0,0,4635
0,1,0,1,0,0,4599
1,1,1,1,0,1,4568
1,1,1,1,0,0,4140
0,1,0,1,0,0,4101
1,1,1,1,1,0,3437
