Current_Taxes,Number_of_bathrooms,Lot_size,Living_space,Number_of_garage_spaces,Number_of_rooms,Number_of_bedrooms,Age_of_house,Price,Number_of_fireplaces,Acutual_sale_price
1,1,1,1,1,1,1,1,1,1,849
1,1,1,1,1,1,1,0,1,1,829
1,1,1,1,1,1,1,0,1,0,458
1,1,1,1,1,1,1,1,1,1,445
1,0,1,1,1,1,1,0,1,0,439
1,1,1,0,1,1,1,0,1,1,419
1,1,0,0,1,0,1,0,1,1,410
1,1,1,0,0,0,1,0,1,0,405
1,1,1,1,1,1,1,1,1,1,389
1,1,0,1,0,0,1,0,1,0,379
0,0,0,0,1,0,1,1,1,1,375
1,1,0,1,1,1,1,1,0,0,369
0,0,1,0,1,0,1,0,0,0,359
0,0,0,1,0,0,1,0,0,0,315
0,0,0,0,0,0,0,0,0,0,310
0,0,1,0,0,1,1,1,0,1,309
0,0,0,0,0,0,0,1,0,1,300
0,0,0,0,0,0,1,1,0,0,299
0,0,0,1,1,1,1,1,0,0,295
0,0,1,1,0,0,1,0,0,0,289
0,0,0,0,0,0,1,1,0,0,279
0,0,0,0,0,1,1,1,0,0,259
