average_rent_for_tillable_land,density_of_dairy_cows,proportion_of_farmland_used_as_pasture,liming_requirement,averagage_rent
1,1,0,0,9917
1,1,0,0,9667
1,0,0,1,9000
1,1,1,1,8500
1,1,0,1,8250
1,1,1,0,7750
1,1,0,0,7500
1,0,0,0,7250
1,1,1,0,6500
1,1,0,0,6250
1,0,0,1,6125
1,1,1,0,6033
1,1,1,0,6000
1,0,0,1,5875
1,1,0,0,5750
1,1,0,0,5667
0,1,1,0,5600
1,0,0,0,5250
1,1,1,0,5214
1,0,1,1,5179
1,0,0,1,5150
1,0,0,1,5083
1,1,1,1,5000
1,1,1,0,4975
1,0,0,1,4917
1,1,1,0,4875
0,1,1,1,4867
1,0,1,1,4850
0,0,0,1,4025
0,1,1,0,4000
1,0,0,1,3917
0,1,1,0,3750
0,1,1,0,3650
1,0,0,1,3500
0,0,0,1,3433
0,1,1,1,3250
0,0,1,1,3156
0,1,1,1,3100
0,0,0,1,3067
0,0,0,1,2800
0,0,0,1,2625
0,1,1,1,2580
0,0,1,1,2500
1,0,0,1,2450
0,1,1,0,2250
0,0,1,1,2167
0,0,0,1,2078
0,1,1,1,2000
0,0,0,1,1975
0,0,0,0,1933
0,0,0,1,1900
0,1,1,0,1838
0,1,1,0,1625
0,1,1,0,1600
0,0,1,0,1200
0,0,1,0,1150
0,0,0,0,850
0,0,1,0,500
