body_weight,brain_weight,slow_wave_sleep,paradoxical_sleep,total_sleep,gestation_time,predation_index,sleep_exposure_index,overall_danger_index,maximum_life_span
1,1,0,1,0,1,0,0,0,1000
1,1,0,1,0,1,1,1,1,690
1,1,0,0,0,1,0,0,0,500
1,1,0,0,0,1,1,1,1,460
1,1,0,0,0,1,0,1,0,410
1,1,0,0,0,1,1,1,1,304
1,1,0,0,0,1,1,1,1,300
1,1,0,0,0,1,0,1,1,290
1,1,1,1,1,1,0,1,0,280
1,1,1,0,0,1,1,1,1,270
0,0,1,1,1,0,0,0,0,240
1,1,1,0,1,1,1,1,1,202
1,1,0,0,0,1,1,1,1,200
0,0,1,1,1,0,0,0,0,190
1,1,0,0,0,0,1,1,1,180
0,1,1,1,1,0,0,0,1,130
0,1,1,1,1,1,0,1,1,120
0,0,1,0,1,1,0,1,1,104
1,1,0,1,0,0,0,0,0,98
0,0,1,1,1,0,1,0,1,90
0,0,0,0,0,1,1,1,1,76
1,1,0,0,0,1,1,0,1,75
0,0,1,0,1,1,1,1,1,70
1,1,1,1,1,1,0,0,0,65
0,0,0,1,1,0,0,1,1,60
1,0,1,1,1,0,0,0,0,50
0,0,1,1,1,0,1,0,1,47
0,0,0,1,0,0,1,0,1,45
0,0,1,1,1,0,1,0,1,39
0,0,0,1,0,0,0,0,0,35
0,0,1,0,1,0,1,0,1,32
1,0,1,1,1,0,0,0,0,30
0,0,0,0,0,0,1,1,1,26
0,0,1,1,1,0,1,1,1,23
0,0,1,1,1,0,1,0,1,20
